Date,GOOG,MSFT,NVDA
2020-01-02,68.04620361328125,153.0422821044922,5.972160816192627
2020-01-03,67.7122802734375,151.13662719726562,5.876570701599121
2020-01-06,69.38188171386719,151.52732849121094,5.9012131690979
2020-01-07,69.33857727050781,150.14572143554688,5.972660064697266
2020-01-08,69.88500213623047,152.53732299804688,5.983860969543457
2020-01-09,70.6568374633789,154.4429473876953,6.049580097198486
2020-01-10,71.1495132446289,153.72833251953125,6.0819411277771
2020-01-13,71.62226104736328,155.57681274414062,6.272624969482422
2020-01-14,71.20672607421875,154.48109436035156,6.15562629699707
2020-01-15,71.62076568603516,155.4815216064453,6.113056659698486
2020-01-16,72.2428207397461,158.3304443359375,6.196700096130371
2020-01-17,73.67056274414062,159.21661376953125,6.205411434173584
2020-01-21,73.87010955810547,158.64486694335938,6.172055721282959
2020-01-22,73.94725036621094,157.88259887695312,6.226073741912842
2020-01-23,73.98208618164062,158.85452270507812,6.294530868530273
2020-01-24,72.98979187011719,157.25379943847656,6.235284328460693
2020-01-27,71.35702514648438,154.62400817871094,5.979381084442139
2020-01-28,72.28561401367188,157.6540069580078,6.172801494598389
2020-01-29,72.58769226074219,160.1122589111328,6.112310886383057
2020-01-30,72.44884490966797,164.6286163330078,6.119032382965088
2020-01-31,71.37344360351562,162.19894409179688,5.885532855987549
2020-02-03,73.9467544555664,166.1531219482422,5.982616424560547
2020-02-04,72.01242065429688,171.62234497070312,6.151891231536865
2020-02-05,72.07014465332031,171.41270446777344,6.242255210876465
2020-02-06,73.46354675292969,174.9667510986328,6.329131126403809
2020-02-07,73.61283874511719,175.2144775390625,6.262916564941406
2020-02-10,75.07839965820312,179.7975311279297,6.546201705932617
2020-02-11,75.08386993408203,175.73854064941406,6.668677806854248
2020-02-12,75.55563354492188,175.9957733154297,6.784431457519531
2020-02-13,75.37598419189453,175.04296875,6.740618705749512
2020-02-14,75.67855072021484,176.6055908203125,7.213841915130615
2020-02-18,75.62529754638672,178.3968963623047,7.382618427276611
2020-02-19,75.97465515136719,178.9319305419922,7.833935260772705
2020-02-20,75.5496597290039,176.1994171142578,7.684574604034424
2020-02-21,73.90544891357422,170.62930297851562,7.320384502410889
2020-02-24,70.74441528320312,163.27252197265625,6.802851676940918
2020-02-25,69.09523010253906,160.5782470703125,6.523298263549805
2020-02-26,69.33060455322266,162.5845947265625,6.662702560424805
2020-02-27,65.59381866455078,151.12905883789062,6.2918195724487305
2020-02-28,66.65080261230469,154.78834533691406,6.726964473724365
2020-03-02,69.12808227539062,165.08782958984375,6.885383605957031
2020-03-03,66.75332641601562,157.17694091796875,6.622849941253662
2020-03-04,68.99919128417969,162.9476776123047,7.086641311645508
2020-03-05,65.64109802246094,158.85848999023438,6.807170867919922
2020-03-06,64.61445617675781,154.36798095703125,6.626586437225342
2020-03-09,60.49148178100586,143.90603637695312,6.113476753234863
2020-03-10,63.71770477294922,153.74693298339844,6.5030412673950195
2020-03-11,60.4840202331543,146.78195190429688,6.139130592346191
2020-03-12,55.482704162597656,132.86134338378906,5.387900352478027
2020-03-13,60.698997497558594,151.75013732910156,5.998897075653076
2020-03-16,53.960914611816406,129.3835906982422,4.891976356506348
2020-03-17,55.72605514526367,140.03662109375,5.411810398101807
2020-03-18,54.58147430419922,134.14161682128906,5.051889419555664
2020-03-19,55.501617431640625,136.34864807128906,5.304705619812012
2020-03-20,53.363250732421875,131.2275848388672,5.124869346618652
2020-03-23,52.58195114135742,129.91864013671875,5.297730445861816
